S.No,setpoint_raw-global_Time,setpoint_raw-global_header.seq,setpoint_raw-global_header.stamp.secs,setpoint_raw-global_latitude,setpoint_raw-global_longitude,setpoint_raw-global_altitude,battery_Time,battery_header.seq,battery_header.stamp.secs,battery_voltage,battery_current,battery_temperature,battery_percentage,global_position-local_Time,global_position-local_header.seq,global_position-local_header.stamp.secs,global_position-local_pose.pose.position.x,global_position-local_pose.pose.position.y,global_position-local_pose.pose.position.z,global_position-local_pose.pose.orientation.x,global_position-local_pose.pose.orientation.y,global_position-local_pose.pose.orientation.z,global_position-local_twist.twist.linear.x,global_position-local_twist.twist.linear.y,global_position-local_twist.twist.linear.z,imu-data_Time,imu-data_header.seq,imu-data_header.stamp.secs,imu-data_orientation.x,imu-data_orientation.y,imu-data_orientation.z,imu-data_orientation.w,imu-data_angular_velocity.x,imu-data_angular_velocity.y,imu-data_angular_velocity.z,rc-out_Time,rc-out_header.seq,rc-out_header.stamp.secs,rc-out_channels_0,rc-out_channels_1,rc-out_channels_2,rc-out_channels_3,rc-out_channels_4,vfr_hud_Time,vfr_hud_header.seq,vfr_hud_header.stamp.secs,vfr_hud_airspeed,vfr_hud_groundspeed,vfr_hud_heading,vfr_hud_throttle,vfr_hud_altitude,vfr_hud_climb,global_position-global_header.stamp.secs,global_position-global_altitude,global_position-global_longitude,global_position-global_latitude,global_position-raw-satellites_data,setpoint_raw-target_global_Time,setpoint_raw-target_global_header.seq,setpoint_raw-target_global_header.stamp.secs,setpoint_raw-target_global_latitude,setpoint_raw-target_global_longitude,setpoint_raw-target_global_altitude,setpoint_raw-target_global_yaw,state_Time,state_header.seq,state_connected,state_armed,state_guided,state_manual_input,state_system_status,RSSI_Time,RSSI_Quality,RSSI_Signal,CPU_Time,CPU_Percent,RAM_Time,Used_RAM_MB
-1.0,-1.9334957633553271,-2.4643632059964493,0.0,-0.9233314681738444,-0.82693949415305,-2.0688886569459006,-18.17548704147339,-187.0,-19.0,0.061999997,0.0,0.0,0.0,-13.459553956985474,-234.0,-23.0,1.196909326,0.732102241,0.013000000000000123,0.011751841999999998,0.00026124400000000075,-0.000538617000000019,0.0,-0.01,-0.01,-13.557517766952515,-233.0,-23.0,0.011881635,0.0002500939999999993,-0.0005264569999999802,0.07160590203247169,0.0006137103970365525,-4.2000000000000004e-06,0.00036641600000000005,-17.308298587799072,-195.5,-19.0,-435.0,-490.0,-561.0,-566.0,0.0,-18.405502796173096,-184.0,-18.0,-0.3030688410151672,-0.078999192,0.0,-0.1599999964237213,-1.39996337890625,-0.01573095,-23.0,-0.9298694205558036,1.2900000001536682e-05,6.599999998968542e-06,0.0,-8.508176326751709,-85.0,-9.0,-7.000000010748408e-07,9.999999406318238e-08,-0.51995849609375,0.0,-17.59398078918457,-20.0,0.0,-1.0,-1.0,0.0,-2.0,-38.74938201904297,0.0,0.0,-40.79982089996338,-5.2,-42.577160120010376,-0.09999999999999964
-0.9996651038178165,-1.9072246369711745,-2.44973371030311,0.0,-0.9233314681738444,-0.82693949415305,-2.0688886569459006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.999330207635633,-1.9022970848734257,-2.424945755802485,0.0,-0.9216973921247772,-0.8306196027674504,-2.0688886569459006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9989953114534494,-1.9017679868864004,-2.423992372937077,0.0,-0.9216973921247772,-0.8306196027674504,-2.0688886569459006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9986604152712659,-1.8439597635008356,-2.4235978696824247,0.0,-0.9216973921247772,-0.8306196027674504,-2.0688886569459006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9983255190890824,-1.843779422335159,-2.423564994411204,0.0,-0.9216973921247772,-0.8306196027674504,-2.0688886569459006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9979906229068989,-1.843773974350373,-2.423532119139983,0.0,-0.9216973921247772,-0.8306196027674504,-2.0688886569459006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9976557267247154,-1.8437698132911267,-2.4215596028667234,0.0,-0.9216973921247772,-0.8338656653833917,-2.0688886569459006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9973208305425318,-1.8437659954120247,-2.420902097442304,0.0,-0.9216973921247772,-0.8338656653833917,-2.0688886569459006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9969859343603483,-1.8437620488403685,-2.420343217831547,0.0,-0.9216973921247772,-0.8338656653833917,-2.0688886569459006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
